"id","name","level","desc","p_id"
2504,虚拟主播/Vtuber,2,,2500
2505,原创角色/独立角色,2,,2500
2506,虚拟歌姬/ Vocaloid,2,,2500
2507,现实偶像/演员,2,,2500
2508,影视剧/电影,2,,2500
2509,历史人物/艺术家,2,,2500
2510,人物相关/其他,2,,2500
2600,动漫相关,1,,
2601,动漫作品/漫画作品,2,,2600
2602,动漫角色/漫画角色,2,,2600
2603,动漫周边/角色二创,2,,2600
2604,高达系列,2,,2600
2605,龙珠系列,2,,2600
2606,FATE/FGO系列,2,,2600
2607,兽娘动物园,2,,2600
2608,偶像大师系列,2,,2600
2609,少女战车系列,2,,2600
2610,魔法小圆系列,2,,2600
2611,RE0/从零开始系列,2,,2600
2612,假面骑士系列,2,,2600
2613,魔法相关/动漫,2,,2600
2614,小马宝莉/彩虹小马,2,,2600
2615,火焰纹章系列,2,,2600
2616,cookie系列,2,,2600
2698,动漫相关/ACG标签,2,,2600
2699,网络流行/meme梗,2,,2600
2700,游戏相关,1,,
2701,原神/米哈游,2,,2700
2702,阴阳师/网易,2,,2700
2703,碧蓝航线,2,,2700
2704,碧蓝幻想,2,,2700
2705,少女前线,2,,2700
2706,碧蓝档案,2,,2700
2707,公主链接,2,,2700
2708,宝可梦系列,2,,2700
2709,舰队收藏/舰c,2,,2700
2710,明日方舟,2,,2700
2711,马里奥系列,2,,2700
2712,最终幻想/FF,2,,2700
2713,少女前线,2,,2700
2714,仙境传说,2,,2700
2715,塞尔达系列,2,,2700
2716,东方project/zun,2,,2700
2717,赛马娘PrettyDerby,2,,2700
2792,游戏制作/公司,2,,2700
2793,掌机/街机系列,2,,2700
2794,手游/页游相关,2,,2700
2795,Galgame/novel,2,,2700
2796,单机/主机游戏,2,,2700
2797,网游/联机游戏,2,,2700
2798,游戏角色/其他,2,,2700
2799,游戏设定/其他,2,,2700
2800,专业名词,1,,
2801,百科WIKI/词条,2,,2800
2802,调色板/颜色库,2,,2800
2803,画质提升/渲染,2,,2800
2804,模型优化/代码,2,,2800
2805,基础反咒/负面,2,,2800
2806,神奇反咒/禁咒,2,,2800
2807,推特内容/账号,2,,2800
2808,网站论坛/图库,2,,2800
2900,其他标签,1,,
2901,符号/标点代码,2,,2900
2902,命令/指令代码,2,,2900
2903,数字/量词,2,,2900
2904,字母/单词,2,,2900
3000,NSFW,1,,
3001,色情液体/体液,2,,3000
3002,色情体位/姿势,2,,3000
3003,色情动作/表演,2,,3000
3004,色情裸露/器官,2,,3000
3005,色情道具/物品,2,,3000
3006,色情设定/效果,2,,3000
3007,色情地点/场所,2,,3000
3008,色情服装/情趣,2,,3000
3009,禁忌关系/乱伦,2,,3000
3010,禁忌血腥/犯罪,2,,3000
3011,施虐SM/SP受虐,2,,3000
3012,捆绑BD/囚禁,2,,3000
3013,调教DS/露出,2,,3000
3100,默认标签,1,,
3101,尚未分类,2,,3100
3102,无效标签,2,,3100
3103,新增分类,2,,3100
3200,组合标签,1,,
3201,元素法典X,2,,3200
3202,清晰咒语X,2,,3200
3203,风景生成X,2,,3200
3204,建筑咒语X,2,,3200
3205,精华短语X,2,,3200
3206,大神原创X,2,,3200
