"id","name","level","desc","p_id"
"2316","草皮灌木","2",,"2300"
"2399","其他物品/对象","2",,"2300"
"2400","特殊设定","1",,
"2401","特殊体型/变异变形","2",,"2400"
"2402","特殊外观/兽化拟人","2",,"2400"
"2403","特殊材质/血肉皮毛","2",,"2400"
"2404","特殊效果/扭曲黑暗","2",,"2400"
"2405","特殊装饰/血腥死亡","2",,"2400"
"2406","特殊动作/飞行变身","2",,"2400"
"2407","魔法动作/奇幻战斗","2",,"2400"
"2408","恐怖氛围/地狱魔法","2",,"2400"
"2500","作品设定","1",,
"2501","原画/插画画师","2",,"2500"
"2502","名著作品/原作","2",,"2500"
"2503","网络昵称/人名","2",,"2500"
"2504","虚拟角色/主播","2",,"2500"
"2505","影视作品/其他","2",,"2500"
"2600","ACG相关","1",,
"2601","动漫/动画作品","2",,"2600"
"2602","动漫/动画角色","2",,"2600"
"2603","动漫/动画相关","2",,"2600"
"2604","高达系列/敢达","2",,"2600"
"2605","龙珠系列/七龙珠","2",,"2600"
"2606","FATE系列/FGO","2",,"2600"
"2607","兽娘动物园","2",,"2600"
"2608","偶像大师系列","2",,"2600"
"2609","少女战车系列","2",,"2600"
"2610","魔法小圆系列","2",,"2600"
"2611","从零开始系列","2",,"2600"
"2612","假面骑士系列","2",,"2600"
"2613","魔法系列/动漫","2",,"2600"
"2698","名作之壁/动漫","2",,"2600"
"2699","ACG标签/梗","2",,"2600"
"2700","游戏相关","1",,
"2701","原神/米哈游","2",,"2700"
"2702","阴阳师/网易","2",,"2700"
"2703","碧蓝航线","2",,"2700"
"2704","碧蓝幻想","2",,"2700"
"2705","少女前线","2",,"2700"
"2706","碧蓝档案","2",,"2700"
"2707","公主链接","2",,"2700"
"2708","口袋妖怪/宠物小精灵","2",,"2700"
"2709","舰娘Colle","2",,"2700"
"2710","明日方舟","2",,"2700"
"2711","马里奥系列","2",,"2700"
"2712","最终幻想","2",,"2700"
"2713","少女前线","2",,"2700"
"2714","仙境传说","2",,"2700"
"2715","塞尔达系列","2",,"2700"
"2794","手游/页游","2",,"2700"
"2795","GAL游戏","2",,"2700"
"2796","单机游戏","2",,"2700"
"2797","网络游戏","2",,"2700"
"2798","游戏角色","2",,"2700"
"2799","其他游戏","2",,"2700"
"2800","专业名词","1",,
"2801","WIKI/专业词汇","2",,"2800"
"2802","调色板/颜色","2",,"2800"
"2803","画质提升/画质","2",,"2800"
"2804","模型优化/代码","2",,"2800"
"2805","基础反咒/黑咒语","2",,"2800"
"2806","神奇反咒/禁咒","2",,"2800"
"2807","推特相关/推特账号","2",,"2800"
"2808","网站相关/论坛图库","2",,"2800"
"2900","其他标签","1",,
"2901","符号/标点代码","2",,"2900"
"2902","命令/指令代码","2",,"2900"
"2903","数字/量词","2",,"2900"
"2904","字母/单词","2",,"2900"
"3000","NSFW","1",,
"3001","神秘液体/体液","2",,"3000"
"3002","性爱体位/组合","2",,"3000"
"3003","色情动作/表演","2",,"3000"
"3004","色情部位/器官","2",,"3000"
"3005","色情道具/玩具","2",,"3000"
"3006","色情设定/效果","2",,"3000"
"3007","色情设施/场所","2",,"3000"
"3008","多人运动/群P","2",,"3000"
"3009","禁忌关系/乱伦","2",,"3000"
"3010","禁忌血腥/犯罪","2",,"3000"
"3011","施虐SM/SP","2",,"3000"
"3012","捆绑BD/囚禁","2",,"3000"
"3013","调教DS/露出","2",,"3000"
"3100","默认标签","1",,
"3101","尚未分类","2",,"3100"
"3102","无效标签","2",,"3100"
"3103","标签扩展","2",,"3100"
"3200","组合标签","1",,
"3201","元素法典/绚丽魔法","2",,"3200"
"3202","最佳画质/清晰咒语","2",,"3200"
"3203","风景生成/建筑流派","2",,"3200"
"3204","Danbooru标签/网络","2",,"3200"
"3205","有效短语/非标签","2",,"3200"
